№ в RWTT;Количество чартов;Старый способ;;Coarse-to-Fine;;СtF+Параллелизация;;CtF+Hybrid;;CtF+Hybrid+Grid;
;;время, с;плотность, %;время, с;плотность, %;время, с;плотность, %;время, с;плотность, %;время, с;плотность, %
1;3785;432,724;75,6447;94,7448;73,4918;70,6913;74,0184;212,107;74,893;84,5347;73,6374
10;5389;311,313;77,6708;136,433;80,0595;91,4734;79,9195;117,684;78,8525;64,0681;80,0604
100;97;2704,61;65,0877;48,9543;62,0015;11,7039;61,845;161,634;66,2032;56,3085;62,3203
11;1527;630,381;43,6332;216,549;66,0101;59,9982;65,9588;704,678;67,417;292,918;66,3569
12;1499;651,29;73,6403;100,192;71,2477;44,1337;71,4489;276,864;73,9545;132,979;70,5657
13;10210;3366,14;63,0998;238,686;59,1535;177,858;59,1537;170,883;63,1;119,763;59,1537
14;37;211,728;66,8884;2,84087;63,2177;1,80775;63,2177;9,09399;66,37;3,44098;63,2177
16;196;1072,11;62,0116;20,8721;60,6326;9,07274;58,5355;67,6168;60,4351;24,8573;61,2997
18;250;1890,86;69,1002;93,0265;63,6735;18,8897;64,2157;323,332;66,6893;112,472;63,8249
19;247;1608,85;63,3045;44,7891;59,3076;16,4625;59,3467;133,219;60,7096;57,3095;60,1904
2;2217;424,61;76,8927;101,67;74,2525;54,5803;74,2526;271,6;77,1338;129,042;74,2656
20;105;1771,68;58,3735;38,8943;55,4363;11,3546;55,6872;101,199;59,3648;45,3138;55,3458
21;355;974,623;68,0172;29,5366;64,321;14,3826;64,6783;80,1888;67,3921;38,8604;64,6103
22;21247;3433,08;69,7059;983,701;69,0205;399,374;72,9272;225,052;75,989;131,422;72,2584
23;985;877,126;69,0651;44,3673;63,335;25,7493;64,4351;144,075;65,4244;58,7706;64,1598
24;4;1323,88;49,1998;8,19356;49,1998;2,43016;49,1998;17,8607;61,7607;8,77394;49,1998
25;28338;158,677;71,7348;472,668;73,4669;455,497;73,4446;294,418;69,6951;163,991;69,599
26;3188;715,172;78,1747;266,964;76,2201;95,8799;76,2752;642,514;76,8616;305,963;75,959
30;5570;526,293;70,7888;177,736;65,5422;103,446;65,5421;125,968;72,6003;85,4117;65,5415
31;14331;322,742;85,798;360,268;85,712;252,541;85,8315;377,662;84,1179;168,999;83,8642
32;13;3406,88;54,3996;17,4468;54,3993;4,92519;54,3995;42,2921;65,5812;17,4124;54,3993
34;1322;911,626;70,2838;91,9236;66,0065;38,1147;66,3517;352,541;67,5718;120,738;66,868
35;447;2682,53;68,6436;35,2312;67,5221;18,7762;67,0346;94,1177;70,4751;42,2271;67,522
36;7063;376,917;73,6944;85,8358;69,3743;115,369;69,8052;104,655;71,9199;35,2608;68,9964
38;72574;307,907;80,0689;4926,25;83,3709;1476,08;83,3369;535,413;75,8475;268,783;75,8014
39;1529;534,98;50,7446;189,535;71,5217;57,7613;72,1349;604,694;73,6653;233,384;71,8632
4;272;958,125;64,7114;43,6399;62,7784;16,237;61,6284;121,201;66,5394;51,7314;61,9459
43;241;20128,8;72,1193;169,084;66,6871;30,0415;67,0214;509,891;71,1693;179,103;67,8809
45;798;1354,17;66,2774;42,4598;60,8524;22,5458;60,1819;132,324;64,4503;44,6599;61,142
47;77;2151,35;67,3361;45,2478;63,6613;10,4078;63,2214;148,802;65,7858;45,7453;63,5437
48;187;1412,21;68,4209;42,8224;61,9497;13,1645;62,2365;145,222;64,0183;47,6682;62,0195
5;2269;2336,67;71,2536;287,124;72,1797;79,872;72,2048;432,123;78,8661;243,52;75,9902
52;96;2284,66;60,785;41,403;58,5571;11,7716;58,0906;109,749;61,6651;47,4487;59,0316
53;1125;1076,19;71,6451;64,4747;70,2916;32,377;69,7313;143,59;72,4703;69,4542;70,2468
54;587;974,754;70,3277;46,2272;70,6376;20,8238;70,3863;104,122;72,7728;49,5535;70,0604
56;13078;5634,23;70,5674;931,5;67,291;278,498;67,6208;688,67;71,8343;303,873;67,5502
57;439;1444,83;66,1125;33,5272;64,7653;16,8541;64,0514;72,0414;66,0656;36,3807;65,0402
58;36432;1231,42;81,0131;2360,39;85,2669;739,372;85,5542;471,499;81,1435;265,76;80,703
61;19134;766,387;82,0602;727,839;83,4132;355,143;83,4126;317,77;84,5129;185,194;83,4129
62;20;3427,77;71,5567;24,7048;63,179;5,67591;63,1783;52,8925;62,7328;24,9365;63,179
63;1095;1272,12;71,5317;48,923;67,8011;29,3479;67,8013;116,596;70,2475;57,3647;67,9842
65;59;1663,62;71,0211;17,8646;70,9125;5,13481;70,9125;44,4076;67,8184;18,1091;70,9125
66;68;4469,47;60,7046;27,9266;59,702;15,0144;59,702;94,024;60,4751;28,7194;59,7019
67;191;7205,13;66,4991;56,1506;64,6046;16,5371;64,6442;233,178;69,4677;58,7608;65,7933
69;23277;64,0656;75,9531;567,283;75,804;381,487;73,9727;28,7803;77,9523;11,247;74,3536
7;5254;434,001;73,3513;183,044;73,8165;99,5778;73,9771;179,868;75,6314;100,104;74,5725
70;772;1715,42;64,4079;112,79;64,543;40,8318;65,2204;295,902;70,0585;144,693;70,094
71;1320;816,98;70,0619;90,7815;67,362;40,5048;67,3311;236,642;69,9814;110,256;67,7642
72;18;4442,2;64,2515;35,5226;62,4924;11,6414;62,4924;55,8006;64,2512;35,7101;62,4924
76;105;2484,12;72,1946;29,612;64,503;9,2584;66,0068;92,7286;73,203;36,5128;66,0067
77;6349;141,31;74,6968;105,571;74,7855;108,495;74,057;178,641;74,3271;95,0952;74,3756
78;182;9102,67;64,2391;61,7085;60,1299;18,2901;60,1301;137,431;63,0076;63,7319;60,1301
79;31;3204,43;59,9717;28,8932;58,3077;5,86335;58,9759;69,8974;63,272;30,15;59,9496
82;244;1735,3;65,1996;54,041;61,9088;17,5841;61,4981;163,677;64,7606;64,8615;62,4446
83;613;2707,25;70,197;143,932;67,1137;43,3325;67,1424;240,236;70,513;93,5343;67,6805
84;10511;357;53,039;79,7008;54,4041;161,758;55,6187;40,8794;60,6202;20,5942;54,4046
85;498;1953,22;71,5836;45,3332;69,6016;20,0396;66,8529;103,304;79,6683;52,1925;69,6019
88;237;4495,81;69,7287;37,4533;64,0741;13,8356;65,2424;70,67;69,0347;40,4447;65,3083
89;513;1368,06;76,2985;98,9999;72,7176;29,234;72,4796;282,976;75,7251;120,242;73,3123
9;1186;992,11;69,3949;109,269;64,0614;36,4028;64,4361;381,164;65,7759;144,712;64,4154
90;455;1133,3;70,4049;71,207;64,6328;21,5817;64,9857;234,856;66,8605;85,4016;64,716
91;116;4119,34;66,2904;86,0173;65,7416;17,7476;63,9952;268,644;69,5745;95,7417;65,891
94;41;833,132;64,1897;6,70385;56,3666;3,15152;56,3666;17,4869;64,7038;6,82684;56,3666
95;155;6135,54;54,2095;143,802;54,2097;24,544;54,2095;458,34;56,9107;156,651;54,2096
96;498;1466,19;65,7975;28,5741;61,5514;19,0238;60,3833;67,9457;65,9822;30,9849;62,4529
97;478;1033,83;76,0923;66,2261;70,8432;24,5582;70,3279;211,092;73,1702;85,2772;72,0084
99;6;1477,03;57,8412;9,97443;57,8412;2,8785;57,8412;50,6694;57,8413;9,8932;57,8412
